state,date,est_infections,est_population,infection_rate,scaled_ir,severe
Texas,2020-05-25,5965.880116848471,28995881,0.0002057492275143656,0.9048296356422814,0
Texas,2020-05-26,5824.762867686501,28995881,0.00020088242422040912,0.8834267467730614,0
Texas,2020-05-27,5832.0555793243,28995881,0.00020113393275839075,0.8845328135201529,0
Texas,2020-05-28,5805.827021693571,28995881,0.00020022937125771658,0.8805547958964809,0
Texas,2020-05-29,5719.60567877015,28995881,0.00019725579915196058,0.8674778274060677,0
Texas,2020-05-30,5649.72291312384,28995881,0.00019484570629614047,0.8568788887512687,0
Texas,2020-05-31,5619.47233762814,28995881,0.0001938024348226612,0.8522908620613402,0
Texas,2020-06-01,5598.438080884051,28995881,0.0001930770125896175,0.8491006506434315,0
Texas,2020-06-02,5565.69854383749,28995881,0.00019194790266374354,0.8441351295806381,0
Texas,2020-06-03,5499.708118407199,28995881,0.00018967204750244352,0.8341265321178575,0
Texas,2020-06-04,5375.19340276523,28995881,0.00018537782669080584,0.8152417066461761,0
Texas,2020-06-05,5226.431730135851,28995881,0.00018024738514190518,0.7926794078046542,0
Texas,2020-06-06,5179.78931671541,28995881,0.00017863879758353988,0.7856052733741842,0
Texas,2020-06-07,5097.72641875885,28995881,0.00017580864050169227,0.7731590054963682,0
Texas,2020-06-08,4934.87393339021,28995881,0.00017019223983538248,0.748459589463813,0
Texas,2020-06-09,4818.1725172866,28995881,0.0001661674814187091,0.7307597869621406,0
Texas,2020-06-10,4744.60484366145,28995881,0.00016363030472022733,0.7196019678272247,0
Texas,2020-06-11,4647.473865071071,28995881,0.00016028048484097003,0.7048703630597425,0
Texas,2020-06-12,4542.692289651671,28995881,0.0001566668138019904,0.6889784120221398,0
Texas,2020-06-13,4473.068334624721,28995881,0.00015426564671805351,0.6784187265058282,0
Texas,2020-06-14,4383.4897543406605,28995881,0.0001511762913615441,0.6648325744920396,0
Texas,2020-06-15,4253.07934949405,28995881,0.0001466787420425008,0.645053565059122,0
Texas,2020-06-16,4110.94614190302,28995881,0.00014177690072265852,0.6234965883977858,0
Texas,2020-06-17,4026.0274813956703,28995881,0.00013884825508132242,0.6106171943863864,0
Texas,2020-06-18,3960.7776520648104,28995881,0.0001365979413443175,0.6007209212220687,0
Texas,2020-06-19,3889.5215123911,28995881,0.0001341404840360291,0.5899136864740642,0
Texas,2020-06-20,3799.6491045011207,28995881,0.0001310409952538128,0.576282970385837,0
Texas,2020-06-21,3679.22862147257,28995881,0.0001268879749324592,0.5580191066048782,0
Texas,2020-06-22,3573.03858255543,28995881,0.0001232257292873919,0.5419135375446915,0
Texas,2020-06-23,3490.8701987496,28995881,0.0001203919342457503,0.5294512709004412,0
Texas,2020-06-24,3417.6796111844606,28995881,0.00011786776236198722,0.5183506434347539,0
Texas,2020-06-25,3342.7444942886896,28995881,0.00011528342574894309,0.5069854277092025,0
Texas,2020-06-26,3247.0929817914302,28995881,0.00011198462918893308,0.49247820974464385,0
Texas,2020-06-27,3135.7208102990803,28995881,0.00010814366393278688,0.4755866800150745,0
Texas,2020-06-28,3021.6554623465504,28995881,0.00010420981733048741,0.45828668316454907,0
Texas,2020-06-29,2942.5727387488105,28995881,0.00010148243947989752,0.4462924106380562,0
Texas,2020-06-30,2897.94589123476,28995881,9.994336406728804e-05,0.4395239718851823,0
Texas,2020-07-01,2800.37020598712,28995881,9.657820729734405e-05,0.42472491960705705,0
Texas,2020-07-02,2679.48064965218,28995881,9.240900973666501e-05,0.4063899126886874,0
Texas,2020-07-03,2593.76626858615,28995881,8.945292155758779e-05,0.39338983379440157,0
Texas,2020-07-04,2502.54137043158,28995881,8.630678855495303e-05,0.37955398899936044,0
Texas,2020-07-05,2424.5192026504897,28995881,8.36159867896578e-05,0.36772056823562627,0
Texas,2020-07-06,2376.9354596626504,28995881,8.197493497999424e-05,0.3605036647798246,0
Texas,2020-07-07,2318.5072832192,28995881,7.99598840683337e-05,0.35164201409802154,0
Texas,2020-07-08,2240.75041057531,28995881,7.72782317107492e-05,0.33984882996285526,0
Texas,2020-07-09,2151.69800235131,28995881,7.42070227958002e-05,0.32634248110703923,0
Texas,2020-07-10,2047.5314102183802,28995881,7.061456108950027e-05,0.3105438029968421,0
Texas,2020-07-11,1961.11112379099,28995881,6.763412788840559e-05,0.29743666125877843,0
Texas,2020-07-12,1897.32314375477,28995881,6.543422990854356e-05,0.2877621030030386,0
Texas,2020-07-13,1827.4537570707898,28995881,6.302459846178807e-05,0.2771651935009168,0
Texas,2020-07-14,1760.9625344483397,28995881,6.073147197866965e-05,0.26708064142086974,0
Texas,2020-07-15,1719.20734690521,28995881,5.929143339032223e-05,0.26074773992224926,0
Texas,2020-07-16,1679.38858298615,28995881,5.791817751583923e-05,0.2547085307955806,0
Texas,2020-07-17,1616.77190402447,28995881,5.575867496574668e-05,0.2452116207499614,0
Texas,2020-07-18,1547.7070560232,28995881,5.337679017316977e-05,0.23473673355283267,0
Texas,2020-07-19,1486.3816332657502,28995881,5.1261820024221726e-05,0.2254356650021757,0
Texas,2020-07-20,1446.8097247251599,28995881,4.9897077613374115e-05,0.21943389579347267,0
Texas,2020-07-21,1398.12188638359,28995881,4.821794814179262e-05,0.21204953704572582,0
Texas,2020-07-22,1348.3428950153698,28995881,4.650118735883106e-05,0.20449968593536988,0
