state,date,est_new_infections,est_population,daily_infection_rate,severe
Alabama,2020-05-17,778.446110551597,4903185,1.5876335699175066,1
Alabama,2020-05-18,746.610515982668,4903185,1.5227051722149336,1
Alabama,2020-05-19,714.778144003817,4903185,1.4577833469547183,1
Alabama,2020-05-20,682.633573163786,4903185,1.3922247950338116,1
Alabama,2020-05-21,655.087535384029,4903185,1.3360449083280133,1
Alabama,2020-05-22,624.004193840226,4903185,1.2726507236423386,1
Alabama,2020-05-23,591.4842310854029,4903185,1.206326563418274,1
Alabama,2020-05-24,567.193048243743,4903185,1.156784922950578,1
Alabama,2020-05-25,546.0715841687751,4903185,1.11370789429478,1
Alabama,2020-05-26,520.4323598180159,4903185,1.061416935763215,1
Alabama,2020-05-27,496.370458315549,4903185,1.012342912444766,1
Alabama,2020-05-28,477.489254629078,4903185,0.9738348739219058,0
Alabama,2020-05-29,457.288248313323,4903185,0.932635110266741,0
Alabama,2020-05-30,435.74585656874297,4903185,0.8886996035612422,0
Alabama,2020-05-31,417.071613826541,4903185,0.8506136599507076,0
Alabama,2020-06-01,399.538717099053,4903185,0.8148554808742745,0
Alabama,2020-06-02,380.990346072839,4903185,0.7770262514525537,0
Alabama,2020-06-03,362.85542156183,4903185,0.7400402423360122,0
Alabama,2020-06-04,345.539172032546,4903185,0.7047239131963121,0
Alabama,2020-06-05,328.522612788559,4903185,0.6700187995936498,0
Alabama,2020-06-06,312.962738749756,4903185,0.6382845818580289,0
Alabama,2020-06-07,298.587089487707,4903185,0.6089655794911001,0
Alabama,2020-06-08,286.738225558708,4903185,0.5847999322046955,0
Alabama,2020-06-09,277.482846563851,4903185,0.565923673212108,0
Alabama,2020-06-10,266.484196386908,4903185,0.5434920289299874,0
Alabama,2020-06-11,254.073284174679,4903185,0.5181800894208132,0
Alabama,2020-06-12,242.738364854918,4903185,0.49506262736347495,0
Alabama,2020-06-13,231.817082444787,4903185,0.47278877391896695,0
Alabama,2020-06-14,221.516211077076,4903185,0.4517802429993484,0
Alabama,2020-06-15,212.028878056334,4903185,0.432430915937975,0
Alabama,2020-06-16,202.64830913078603,4903185,0.4132993332513173,0
Alabama,2020-06-17,193.54973069984902,4903185,0.3947428675439516,0
Alabama,2020-06-18,185.565431188339,4903185,0.3784589632827214,0
Alabama,2020-06-19,177.935158548997,4903185,0.3628970935198183,0
Alabama,2020-06-20,170.29566671496,4903185,0.34731642129546403,0
Alabama,2020-06-21,163.321651756958,4903185,0.33309298294263423,0
Alabama,2020-06-22,156.181376087631,4903185,0.3185304574223306,0
Alabama,2020-06-23,148.37859874293002,4903185,0.30261676592445524,0
Alabama,2020-06-24,141.196596200529,4903185,0.2879691388363462,0
Alabama,2020-06-25,135.28376697950398,4903185,0.27590997888006263,0
Alabama,2020-06-26,129.278627463005,4903185,0.26366255293855934,0
Alabama,2020-06-27,123.582758736286,4903185,0.2520458818834818,0
Alabama,2020-06-28,119.061830963508,4903185,0.24282549192720243,0
Alabama,2020-06-29,114.341657371688,4903185,0.23319874198442034,0
Alabama,2020-06-30,108.97602936840201,4903185,0.2222555937995446,0
Alabama,2020-07-01,104.166384381791,4903185,0.21244636778296355,0
Alabama,2020-07-02,99.55437562136999,4903185,0.20304021900330088,0
Alabama,2020-07-03,94.82305449536258,4903185,0.19339073376868826,0
Alabama,2020-07-04,91.0115094519574,4903185,0.18561712326162974,0
Alabama,2020-07-05,87.44688006264809,4903185,0.17834709492431572,0
Alabama,2020-07-06,83.62189097724759,4903185,0.1705460654192073,0
Alabama,2020-07-07,80.2044015997853,4903185,0.16357612776141486,0
Alabama,2020-07-08,76.7193152789823,4903185,0.15646832676919653,0
Alabama,2020-07-09,73.2406469510109,4903185,0.14937361521339884,0
Alabama,2020-07-10,70.3564611376696,4903185,0.14349134519229767,0
Alabama,2020-07-11,67.8260669754017,4903185,0.13833062993829867,0
Alabama,2020-07-12,64.9575851018704,4903185,0.13248038795572756,0
Alabama,2020-07-13,61.917825466752994,4903185,0.1262808265785464,0
Alabama,2020-07-14,59.3643323468254,4903185,0.12107300121620007,0
Alabama,2020-07-15,56.8604698493578,4903185,0.11596639704469196,0
Alabama,2020-07-16,54.58545403286529,4903185,0.11132652354105606,0
Alabama,2020-07-17,52.5062000088305,4903185,0.10708590438425329,0
Alabama,2020-07-18,50.4052262771842,4903185,0.102800988086691,0
Alabama,2020-07-19,48.4265431324821,4903185,0.09876548229871421,0
Alabama,2020-07-20,46.33241533435739,4903185,0.09449452821861176,0
Alabama,2020-07-21,44.429223639030894,4903185,0.09061298653636543,0
Alabama,2020-07-22,42.6454722529869,4903185,0.086975042249042,0
Alabama,2020-07-23,40.837061200907,4903185,0.08328680480321873,0
Alabama,2020-07-24,39.2177053726548,4903185,0.0799841437201631,0
Alabama,2020-07-25,37.636008808119705,4903185,0.07675828835363076,0
Alabama,2020-07-26,36.041868131617996,4903185,0.07350705333700032,0
Alabama,2020-07-27,34.5624852133188,4903185,0.0704898656961114,0
Alabama,2020-07-28,33.180970069745996,4903185,0.06767227846745737,0
Alabama,2020-07-29,31.798422534039698,4903185,0.06485258568469209,0
Alabama,2020-07-30,30.475169669829803,4903185,0.062153823830489376,0
Alabama,2020-07-31,29.2737582658292,4903185,0.059703556496092235,0
Alabama,2020-08-01,28.0951598005332,4903185,0.057299815937055604,0
Alabama,2020-08-02,26.9362020410532,4903185,0.05493613241403945,0
Alabama,2020-08-03,25.8863393276334,4903185,0.052794947218253854,0
Alabama,2020-08-04,24.8660532081318,4903185,0.050714083209448146,0
Alaska,2020-05-12,19.1525739483215,731545,0.26180992212811927,0
Alaska,2020-05-13,18.5483207733529,731545,0.25354996306929717,0
Alaska,2020-05-14,17.9985824703329,731545,0.24603520590439276,0
Alaska,2020-05-15,17.4571733558069,731545,0.23863430623962847,0
Alaska,2020-05-16,16.9315190048146,731545,0.2314487694511561,0
Alaska,2020-05-17,16.442262645081502,731545,0.2247607822496429,0
Alaska,2020-05-18,16.0084879196672,731545,0.218831212292712,0
Alaska,2020-05-19,15.5325541773587,731545,0.21232534126210553,0
Alaska,2020-05-20,15.046705192616901,731545,0.20568393185131334,0
Alaska,2020-05-21,14.645008104106902,731545,0.20019285353747074,0
Alaska,2020-05-22,14.138963644523301,731545,0.19327537806318545,0
Alaska,2020-05-23,13.5825300835958,731545,0.1856690987375459,0
Alaska,2020-05-24,13.194896540125699,731545,0.18037026485213759,0
Alaska,2020-05-25,12.8585255493593,731545,0.17577217463531705,0
Alaska,2020-05-26,12.3615491485395,731545,0.1689786567954056,0
Alaska,2020-05-27,11.8851584352019,731545,0.16246653910835152,0
Alaska,2020-05-28,11.532866495235801,731545,0.15765081430719644,0
Alaska,2020-05-29,11.128309121923802,731545,0.15212063676088008,0
Alaska,2020-05-30,10.674909723855599,731545,0.1459228034345884,0
Alaska,2020-05-31,10.300641435332802,731545,0.140806668562191,0
Alaska,2020-06-01,9.956056275291369,731545,0.1360962931233399,0
Alaska,2020-06-02,9.546711621555971,731545,0.13050067489431233,0
Alaska,2020-06-03,9.14124010327866,731545,0.12495800126142152,0
Alaska,2020-06-04,8.75729122533556,731545,0.11970953564490988,0
Alaska,2020-06-05,8.36583290142426,731545,0.11435841816189381,0
Alaska,2020-06-06,8.015665150496531,731545,0.10957173038564315,0
Alaska,2020-06-07,7.68603829116875,731545,0.1050658304160202,0
Alaska,2020-06-08,7.395535950370599,731545,0.10109475084062633,0
Alaska,2020-06-09,7.165979467299531,731545,0.09795678279941127,0
Alaska,2020-06-10,6.91066413820523,731545,0.09446669908488514,0
Alaska,2020-06-11,6.625763601126269,731545,0.0905721944805346,0
Alaska,2020-06-12,6.343233509295501,731545,0.08671009314936881,0
Alaska,2020-06-13,6.05682358839049,731545,0.08279495572234777,0
Alaska,2020-06-14,5.791186606396461,731545,0.07916377811886433,0
Alaska,2020-06-15,5.5340389334663,731545,0.07564864681552468,0
Alaska,2020-06-16,5.27420489607076,731545,0.07209679371837358,0
Alaska,2020-06-17,5.03715978011349,731545,0.06885645831922152,0
Alaska,2020-06-18,4.8281186165725805,731545,0.06599892852213576,0
Alaska,2020-06-19,4.62060472237493,731545,0.06316227603735833,0
Alaska,2020-06-20,4.40496555471676,731545,0.0602145535095826,0
Alaska,2020-06-21,4.213918897849741,731545,0.057603003203490426,0
Alaska,2020-06-22,4.01712110422016,731545,0.05491283658859209,0
Alaska,2020-06-23,3.7890256343734197,731545,0.05179484015847856,0
Alaska,2020-06-24,3.5874393249677996,731545,0.04903921597397015,0
Alaska,2020-06-25,3.42537886842224,731545,0.04682389830321088,0
Alaska,2020-06-26,3.26724271799449,731545,0.044662224716107556,0
Alaska,2020-06-27,3.1169557651198705,731545,0.042607847297430376,0
Alaska,2020-06-28,2.98533436179941,731545,0.040808622323977466,0
Alaska,2020-06-29,2.84954222527239,731545,0.038952384682724786,0
Alaska,2020-06-30,2.69966323924763,731545,0.03690358404811228,0
Alaska,2020-07-01,2.5621226800332098,731545,0.0350234459948904,0
Alaska,2020-07-02,2.43125882477523,731545,0.033234576475476285,0
Alaska,2020-07-03,2.29965393327898,731545,0.0314355772136913,0
Alaska,2020-07-04,2.1877771818807803,731545,0.029906255690091248,0
Alaska,2020-07-05,2.08335104512784,731545,0.028478781826515663,0
Alaska,2020-07-06,1.97455985930574,731545,0.026991639055775653,0
Alaska,2020-07-07,1.88461471499875,731545,0.02576211600104915,0
Alaska,2020-07-08,1.79621263280057,731545,0.024553686140983397,0
Alaska,2020-07-09,1.7002046264311101,731545,0.02324128558641109,0
Alaska,2020-07-10,1.6170695055884998,731545,0.022104853503044922,0
Alaska,2020-07-11,1.5442516218893,731545,0.021109454946576085,0
Alaska,2020-07-12,1.46357021499122,731545,0.020006564394414835,0
Alaska,2020-07-13,1.38081495384034,731545,0.018875324878720245,0
Alaska,2020-07-14,1.31422071271611,731545,0.017965001643318046,0
Alaska,2020-07-15,1.2495111079885401,731545,0.017080440820298685,0
Alaska,2020-07-16,1.1901435689193898,731545,0.016268904427197094,0
Alaska,2020-07-17,1.1375053916475701,731545,0.015549356384741475,0
Alaska,2020-07-18,1.08018232914666,731545,0.014765767371066166,0
Alaska,2020-07-19,1.02378668069059,731545,0.013994855828289306,0
Alaska,2020-07-20,0.970201593104983,731545,0.013262363806805911,0
Alaska,2020-07-21,0.9218914824575191,731545,0.01260197913262368,0
Alaska,2020-07-22,0.875220934484154,731545,0.011964006786788974,0
Alaska,2020-07-23,0.828772386076394,731545,0.01132906910820789,0
Alaska,2020-07-24,0.7887129458392741,731545,0.010781468615591304,0
Alaska,2020-07-25,0.751034317758982,731545,0.010266413108680697,0
Alaska,2020-07-26,0.7132365223967941,731545,0.009749728620888586,0
Alaska,2020-07-27,0.677178411741275,731545,0.009256825099498664,0
Alaska,2020-07-28,0.643208382072509,731545,0.008792465016813853,0
Alaska,2020-07-29,0.609783361261128,731545,0.008335555041195389,0
Alaska,2020-07-30,0.577442174631171,731545,0.007893460752669636,0
Alaska,2020-07-31,0.549440847204765,731545,0.007510691033426037,0
Alaska,2020-08-01,0.522861248861067,731545,0.007147355922890144,0
Alaska,2020-08-02,0.496102602160536,731545,0.006781573275198873,0
Alaska,2020-08-03,0.4713420333346579,731545,0.0064431037507557,0
Alaska,2020-08-04,0.447161941407016,731545,0.006112569170823613,0
Arizona,2020-05-12,4843.42998772615,7278717,6.654235887624358,1
Arizona,2020-05-13,4795.14192704146,7278717,6.587894442168118,1
Arizona,2020-05-14,4746.66389575507,7278717,6.5212920020864535,1
Arizona,2020-05-15,4685.99798456066,7278717,6.4379450177286195,1
Arizona,2020-05-16,4662.91277698182,7278717,6.406228978241384,1
Arizona,2020-05-17,4644.409642405661,7278717,6.380808104513007,1
Arizona,2020-05-18,4617.30675446719,7278717,6.343572300540316,1
Arizona,2020-05-19,4573.16567305368,7278717,6.282928259271078,1
Arizona,2020-05-20,4517.08029001943,7278717,6.205874318261626,1
Arizona,2020-05-21,4490.99527526805,7278717,6.1700369381967315,1
Arizona,2020-05-22,4454.30303967503,7278717,6.119626631554751,1
Arizona,2020-05-23,4391.7113748887705,7278717,6.033633915000089,1
Arizona,2020-05-24,4350.0322547569895,7278717,5.9763722847817675,1
Arizona,2020-05-25,4326.14916776869,7278717,5.943560063907816,1
Arizona,2020-05-26,4262.54456086391,7278717,5.85617569808513,1
Arizona,2020-05-27,4180.16355580224,7278717,5.742995030308556,1
Arizona,2020-05-28,4115.52784313698,7278717,5.654194060762329,1
Arizona,2020-05-29,4053.0980299964003,7278717,5.568423707085191,1
Arizona,2020-05-30,3981.69016892965,7278717,5.4703186961790795,1
Arizona,2020-05-31,3934.4809109898797,7278717,5.405459383830803,1
Arizona,2020-06-01,3878.8326974615707,7278717,5.32900605623432,1
Arizona,2020-06-02,3779.91844264225,7278717,5.193110877428329,1
Arizona,2020-06-03,3691.53810258302,7278717,5.0716879122831955,1
Arizona,2020-06-04,3622.9959774426293,7278717,4.977520045692984,1
Arizona,2020-06-05,3535.64990235957,7278717,4.857518024618308,1
Arizona,2020-06-06,3457.55767054848,7278717,4.750229567310393,1
Arizona,2020-06-07,3384.25143163872,7278717,4.649516434886423,1
Arizona,2020-06-08,3322.1258302543897,7278717,4.5641640281582445,1
Arizona,2020-06-09,3292.8130352071003,7278717,4.523892102422859,1
Arizona,2020-06-10,3245.59358030017,7278717,4.459018780782616,1
Arizona,2020-06-11,3173.0769802533,7278717,4.359390508318018,1
Arizona,2020-06-12,3097.81974460084,7278717,4.2559969629274494,1
Arizona,2020-06-13,3025.7594996642497,7278717,4.156995662373259,1
Arizona,2020-06-14,2959.2626257962897,7278717,4.065637702078938,1
Arizona,2020-06-15,2889.38411770807,7278717,3.9696338210539985,1
Arizona,2020-06-16,2817.78326382112,7278717,3.8712636633916664,1
Arizona,2020-06-17,2748.1745805143,7278717,3.775630486134163,1
Arizona,2020-06-18,2678.31579000613,7278717,3.6796536944713334,1
Arizona,2020-06-19,2606.92614423197,7278717,3.5815737089819124,1
Arizona,2020-06-20,2535.4030396308,7278717,3.4833103686141387,1
Arizona,2020-06-21,2474.1054814812196,7278717,3.3990955844020583,1
Arizona,2020-06-22,2401.83518792095,7278717,3.299805704660519,1
Arizona,2020-06-23,2306.56009371666,7278717,3.1689102539866023,1
Arizona,2020-06-24,2229.7404301626502,7278717,3.0633701381200154,1
Arizona,2020-06-25,2178.89171284672,7278717,2.9935106871811614,1
Arizona,2020-06-26,2117.68627262483,7278717,2.909422460888135,1
Arizona,2020-06-27,2060.1742369275103,7278717,2.8304084867257653,1
Arizona,2020-06-28,2011.2044638041,7278717,2.7631304580245395,1
Arizona,2020-06-29,1951.15027223207,7278717,2.6806238959861606,1
Arizona,2020-06-30,1888.09446158635,7278717,2.593993504056209,1
Arizona,2020-07-01,1834.8747539219,7278717,2.5208766241659073,1
Arizona,2020-07-02,1779.39202277875,7278717,2.4446506476055463,1
Arizona,2020-07-03,1715.6295990109697,7278717,2.3570494621661617,1
Arizona,2020-07-04,1660.0452820982,7278717,2.2806839201169655,1
Arizona,2020-07-05,1607.2360314372302,7278717,2.2081309541739707,1
Arizona,2020-07-06,1553.46999019521,7278717,2.1342634837914565,1
Arizona,2020-07-07,1513.00881809898,7278717,2.0786751540126924,1
Arizona,2020-07-08,1470.53507719776,7278717,2.0203218193505257,1
Arizona,2020-07-09,1416.8314126422501,7278717,1.9465400463326847,1
Arizona,2020-07-10,1371.058260309,7278717,1.8836537542385559,1
Arizona,2020-07-11,1335.1263044555099,7278717,1.834287971981202,1
Arizona,2020-07-12,1289.12321986699,7278717,1.771085783204636,1
Arizona,2020-07-13,1236.0665646697998,7278717,1.6981929159627993,1
Arizona,2020-07-14,1196.68069625765,7278717,1.6440819120425345,1
Arizona,2020-07-15,1158.66620615964,7278717,1.5918550015883846,1
Arizona,2020-07-16,1123.19094530024,7278717,1.543116658197097,1
Arizona,2020-07-17,1093.7993943812198,7278717,1.5027365322504225,1
Arizona,2020-07-18,1057.16312407747,7278717,1.4524031145564116,1
Arizona,2020-07-19,1020.51728660593,7278717,1.4020565528319482,1
Arizona,2020-07-20,985.3738708588479,7278717,1.3537741209870475,1
Arizona,2020-07-21,950.12767571001,7278717,1.3053504837597203,1
Arizona,2020-07-22,915.334367677039,7278717,1.2575490538745209,1
Arizona,2020-07-23,881.114723979008,7278717,1.2105357633481395,1
Arizona,2020-07-24,853.491224485806,7278717,1.1725847075601457,1
Arizona,2020-07-25,826.1763260417099,7278717,1.1350576290323005,1
Arizona,2020-07-26,795.235785388126,7278717,1.0925493948839142,1
Arizona,2020-07-27,766.422290616441,7278717,1.0529634420687617,1
Arizona,2020-07-28,741.341089515965,7278717,1.0185051699577892,1
Arizona,2020-07-29,715.143613373214,7278717,0.9825132827299289,0
Arizona,2020-07-30,688.468324880849,7278717,0.9458649441664637,0
Arizona,2020-07-31,665.665535778071,7278717,0.914536910527049,0
Arizona,2020-08-01,643.453384145606,7278717,0.8840203351024721,0
Arizona,2020-08-02,620.6760103949711,7278717,0.8527272188147597,0
Arizona,2020-08-03,598.0809492524501,7278717,0.8216845760763195,0
Arizona,2020-08-04,574.3125807591169,7278717,0.7890299633288627,0
Arkansas,2020-05-12,71.62999378252401,3017804,0.2373580052996285,0
Arkansas,2020-05-13,66.26556727372059,3017804,0.21958207780797093,0
Arkansas,2020-05-14,60.9342338513974,3017804,0.2019158098120269,0
Arkansas,2020-05-15,55.89525469563579,3017804,0.18521830674104678,0
Arkansas,2020-05-16,51.962033380502795,3017804,0.17218491784258616,0
Arkansas,2020-05-17,48.48080382510321,3017804,0.1606492794929797,0
Arkansas,2020-05-18,45.13782778732799,3017804,0.14957176737564135,0
Arkansas,2020-05-19,41.8623855085522,3017804,0.1387180397022212,0
Arkansas,2020-05-20,38.9260666026254,3017804,0.12898805423621082,0
Arkansas,2020-05-21,36.4165751903299,3017804,0.12067243330027365,0
Arkansas,2020-05-22,33.7621955046379,3017804,0.11187670075537676,0
Arkansas,2020-05-23,31.133916939787103,3017804,0.10316745865466115,0
Arkansas,2020-05-24,28.877468833245803,3017804,0.0956903391779115,0
Arkansas,2020-05-25,26.915729987416896,3017804,0.08918978829445814,0
Arkansas,2020-05-26,24.8833845953965,3017804,0.0824552707710524,0
Arkansas,2020-05-27,22.9228747984623,3017804,0.07595879254736987,0
Arkansas,2020-05-28,21.2551901605357,3017804,0.07043263962979604,0
Arkansas,2020-05-29,19.740961186698197,3017804,0.06541498780801602,0
Arkansas,2020-05-30,18.2722582258005,3017804,0.06054819407025937,0
Arkansas,2020-05-31,17.008722937869802,3017804,0.056361257847990794,0
Arkansas,2020-06-01,15.813264775869401,3017804,0.052399906607153414,0
Arkansas,2020-06-02,14.5318329874775,3017804,0.04815366732722702,0
Arkansas,2020-06-03,13.3917657334916,3017804,0.04437586315576359,0
Arkansas,2020-06-04,12.420721004240198,3017804,0.04115814348526345,0
Arkansas,2020-06-05,11.465210336454199,3017804,0.0379918985343455,0
Arkansas,2020-06-06,10.6103143009339,3017804,0.03515905705252528,0
Arkansas,2020-06-07,9.81775005149376,3017804,0.03253276240436344,0
Arkansas,2020-06-08,9.10639290099405,3017804,0.03017556110666581,0
Arkansas,2020-06-09,8.55750456960779,3017804,0.02835672750651729,0
Arkansas,2020-06-10,8.00289835339412,3017804,0.026518946735421253,0
Arkansas,2020-06-11,7.4186248537474295,3017804,0.024582858441924756,0
Arkansas,2020-06-12,6.87493709908612,3017804,0.022781257825511925,0
Arkansas,2020-06-13,6.38343997859117,3017804,0.021152599634009266,0
Arkansas,2020-06-14,5.92864243274648,3017804,0.01964555164201015,0
Arkansas,2020-06-15,5.494781511416661,3017804,0.01820788066891243,0
Arkansas,2020-06-16,5.0929877016996,3017804,0.016876469451626415,0
Arkansas,2020-06-17,4.72527256861282,3017804,0.01565798364841726,0
Arkansas,2020-06-18,4.39662729505217,3017804,0.014568962381427589,0
Arkansas,2020-06-19,4.0854529036022695,3017804,0.01353783381426451,0
Arkansas,2020-06-20,3.7863342065140597,3017804,0.012546653813548064,0
Arkansas,2020-06-21,3.5205870581166803,3017804,0.011666056039811334,0
Arkansas,2020-06-22,3.2594617017577403,3017804,0.010800773349620254,0
Arkansas,2020-06-23,2.99333102334337,3017804,0.009918904684808457,0
Arkansas,2020-06-24,2.76754846843379,3017804,0.009170736298426902,0
Arkansas,2020-06-25,2.58940717843175,3017804,0.00858043523844408,0
Arkansas,2020-06-26,2.41573272527242,3017804,0.008004935791961374,0
Arkansas,2020-06-27,2.25655183719471,3017804,0.007477463205677737,0
Arkansas,2020-06-28,2.11644996711519,3017804,0.0070132121473601,0
Arkansas,2020-06-29,1.97093487075111,3017804,0.006531023455304288,0
Arkansas,2020-06-30,1.83057993448526,3017804,0.006065933819708835,0
Arkansas,2020-07-01,1.70705445547728,3017804,0.005656611415046438,0
Arkansas,2020-07-02,1.5915421304288302,3017804,0.005273841940791483,0
Arkansas,2020-07-03,1.47888892994681,3017804,0.004900546655603909,0
Arkansas,2020-07-04,1.37724391611759,3017804,0.004563728844277461,0
Arkansas,2020-07-05,1.2840369231826598,3017804,0.004254871831247688,0
Arkansas,2020-07-06,1.19772901687073,3017804,0.003968876099543675,0
Arkansas,2020-07-07,1.12457067417121,3017804,0.0037264536536210104,0
Arkansas,2020-07-08,1.0546066103824399,3017804,0.0034946159869310264,0
Arkansas,2020-07-09,0.9811477481466719,3017804,0.003251197719092002,0
Arkansas,2020-07-10,0.9171941817062909,3017804,0.003039276844043851,0
Arkansas,2020-07-11,0.864864835093264,3017804,0.0028658747721630163,0
Arkansas,2020-07-12,0.80762753106188,3017804,0.0026762093597260794,0
Arkansas,2020-07-13,0.7486644631316891,3017804,0.002480825338993815,0
Arkansas,2020-07-14,0.7015656870645469,3017804,0.0023247556404078825,0
Arkansas,2020-07-15,0.65842620538082,3017804,0.00218180572820773,0
Arkansas,2020-07-16,0.6202015210939571,3017804,0.0020551418219803444,0
Arkansas,2020-07-17,0.5868798079383559,3017804,0.0019447247334099759,0
Arkansas,2020-07-18,0.549758968702052,3017804,0.001821718603004211,0
Arkansas,2020-07-19,0.514673515008762,3017804,0.0017054570641723652,0
Arkansas,2020-07-20,0.482593526721932,3017804,0.0015991546393401693,0
Arkansas,2020-07-21,0.452275722574443,3017804,0.0014986915073823318,0
Arkansas,2020-07-22,0.424446162349544,3017804,0.0014064735892375516,0
Arkansas,2020-07-23,0.398856837705243,3017804,0.001321679067644032,0
Arkansas,2020-07-24,0.37642587153846396,3017804,0.0012473502968995468,0
Arkansas,2020-07-25,0.35510049739806,3017804,0.001176685090874225,0
Arkansas,2020-07-26,0.333875339381862,3017804,0.001106351967794668,0
Arkansas,2020-07-27,0.314407204096671,3017804,0.0010418410343967699,0
Arkansas,2020-07-28,0.297360792818014,3017804,0.0009853548899067467,0
Arkansas,2020-07-29,0.28056168665038395,3017804,0.0009296882324047021,0
Arkansas,2020-07-30,0.264409391962923,3017804,0.0008761648932897002,0
Arkansas,2020-07-31,0.250185236069839,3017804,0.0008290307656489256,0
Arkansas,2020-08-01,0.23664527311874603,3017804,0.0007841638261422744,0
Arkansas,2020-08-02,0.22393014417495602,3017804,0.0007420301125419545,0
Arkansas,2020-08-03,0.21175496851000897,3017804,0.0007016856247457058,0
Arkansas,2020-08-04,0.199341698120348,3017804,0.000660552170122208,0
California,2020-05-12,8012.558693227929,39512223,2.0278683619567364,1
California,2020-05-13,7818.76173670598,39512223,1.9788210186771773,1
California,2020-05-14,7561.63624234816,39512223,1.9137460937968889,1
California,2020-05-15,7336.75520611825,39512223,1.8568317976232949,1
California,2020-05-16,7212.89359621885,39512223,1.8254841283465246,1
California,2020-05-17,7053.617242415891,39512223,1.7851734746526133,1
California,2020-05-18,6881.77807103,39512223,1.7416833446779243,1
California,2020-05-19,6724.24734435479,39512223,1.7018144851922883,1
California,2020-05-20,6612.297200034311,39512223,1.6734814439659118,1
California,2020-05-21,6520.284426012309,39512223,1.6501942768475235,1
California,2020-05-22,6339.27782499411,39512223,1.60438399656585,1
California,2020-05-23,6131.35238809335,39512223,1.5517609292935377,1
California,2020-05-24,5986.395226655601,39512223,1.5150742661721668,1
California,2020-05-25,5876.29132150672,39512223,1.4872084826780614,1
California,2020-05-26,5683.61641030446,39512223,1.4384451136309038,1
California,2020-05-27,5449.59076473644,39512223,1.3792164426528066,1
